"성분AS","성분C","성분B","성분CA","성분CU","성분CR","성분MO","성분MN","성분N","성분P","성분S","성분TOTALAL","성분SOLAL","재료번호","성분V"
0.006,0.0459,0,0,0.018,0.02,0,0.287,20,0.0093,0.003,0.018,0.017,"HQX046370",0
0.005,0.0371,0,0,0.02,0.02,0,0.184,17,0.0077,0.003,0.02,0.019,"HQC069020",0
0.007,0.041,0,0,0.017,0.01,0,0.207,30,0.0049,0.0043,0.024,0.022,"HQY156510",0
0.005,0.039,0,0,0.013,0.02,0,0.192,27,0.0096,0.003,0.032,0.03,"HQY067200",0
0.006,0.0195,0,6,0.01,0.02,0,0.194,16,0.0074,0.0092,0.023,0.021,"HQD047140",0
0.006,0.036,0,0,0.014,0.02,0,0.188,28,0.009,0.0031,0.03,0.029,"HQA133200",0
0.006,0.0397,12,0,0.014,0.02,0,0.181,22,0.0091,0.0028,0.023,0.022,"HQG000390",0
0.007,0.0021,0,0,0.011,0.02,0,0.097,12,0.0104,0.0035,0.029,0.027,"HQA144180",0.001
0.005,0.002,14,0,0.06,0.06,0,0.539,13,0.015,0.0031,0.025,0.021,"HQD100010",0.001
0.005,0.0411,0,0,0.015,0.02,0,0.193,13,0.0115,0.0034,0.022,0.021,"HQF000280",0
0.006,0.0425,0,0,0.018,0.03,0,0.195,24,0.0086,0.0034,0.022,0.022,"HQD065700",0
0.005,0.039,0,1,0.012,0.02,0,0.206,17,0.0073,0.0034,0.023,0.021,"HQY092640",0
0.006,0.0018,0,0,0.034,0.02,0,0.099,20,0.0087,0.0045,0.023,0.02,"HQX084180",0.001
0.004,0.0412,0,0,0.012,0.02,0,0.198,16,0.0101,0.0033,0.026,0.024,"HQJ011640",0
0.005,0.0377,0,0,0.019,0.02,0,0.207,24,0.0084,0.0036,0.033,0.032,"HQY095620",0
0.005,0.0405,0,0,0.008,0.01,0,0.212,18,0.0078,0.0028,0.027,0.025,"HQX114310",0
0.004,0.0018,0,0,0.01,0.02,0,0.113,12,0.0087,0.0033,0.028,0.024,"HQE003170",0.002
0.004,0.1186,0,0,0.013,0.01,0,0.47,30,0.0112,0.0021,0.022,0.021,"HQJ156930",0
0.004,0.0346,0,1,0.012,0.02,0,0.186,25,0.0074,0.0031,0.02,0.019,"HQD128980",0
0.004,0.0603,0,1,0.028,0.03,0,0.803,32,0.0116,0.0022,0.041,0.04,"HQJ140630",0.001
0.004,0.0024,0,0,0.008,0.02,0,0.071,26,0.0069,0.0034,0.03,0.03,"HQG072530",0.002
0.007,0.0442,12,0,0.011,0.02,0,0.202,20,0.0115,0.0041,0.023,0.022,"HQA099180",0
0.005,0.1226,0,0,0.011,0.02,0,0.507,30,0.01,0.0026,0.021,0.02,"HQD127770",0
0.004,0.0193,0,0,0.018,0.02,0,0.145,17,0.0084,0.0031,0.036,0.034,"HQG036650",0
0.005,0.0411,0,2,0.011,0.02,0,0.255,18,0.0088,0.0033,0.035,0.033,"HQF017350",0
0.008,0.0398,0,0,0.022,0.02,0,0.194,31,0.0088,0.0041,0.03,0.029,"HQD032230",0
0.004,0.0407,0,0,0.017,0.02,0,0.188,26,0.0101,0.003,0.025,0.022,"HQJ021340",0
0.005,0.065,0,0,0.018,0.02,0,0.491,28,0.0083,0.0039,0.053,0.052,"HQG164950",0
0.007,0.0582,0,0,0.012,0.01,0,0.347,28,0.0076,0.003,0.034,0.033,"HQA121340",0
0.005,0.001,6,0,0.01,0.02,0,0.688,16,0.0586,0.0035,0.034,0.032,"HQE116480",0.002
0.006,0.185,0,0,0.022,0.02,0,0.406,51,0.01,0.0023,0.032,0.03,"HQF006020",0.001
0.004,0.0346,0,0,0.01,0.02,0,0.19,22,0.0064,0.0031,0.03,0.028,"HQG012140",0
0.005,0.1251,0,0,0.013,0.02,0,0.884,29,0.0131,0.0019,0.017,0.016,"HQG140350",0.001
0.005,0.0353,12,4,0.012,0.01,0,0.181,15,0.0051,0.0033,0.034,0.033,"HQE033600",0
0.005,0.0404,0,1,0.01,0.02,0,0.183,27,0.0082,0.0034,0.034,0.033,"HQC083500",0
0.005,0.15,0,0,0.024,0.02,0,0.459,23,0.0097,0.003,0.018,0.016,"HQE041820",0.001
0.006,0.1204,0,0,0.021,0.02,0,0.356,29,0.0096,0.0032,0.022,0.022,"HQC110780",0
0.005,0.0407,0,0,0.016,0.02,0,0.201,14,0.008,0.0033,0.027,0.026,"HQC026290",0
0.004,0.0422,0,0,0.02,0.01,0,0.314,42,0.0058,0.0034,0.032,0.03,"HQE129870",0
0.005,0.0019,0,0,0.009,0.02,0,0.094,14,0.0089,0.0032,0.028,0.027,"HQZ151860",0
0.005,0.0371,0,0,0.02,0.01,0,0.222,36,0.0064,0.0043,0.027,0.026,"HQX145110",0
0.005,0.0781,5,2,0.014,0.02,0,0.894,37,0.0194,0.0024,0.028,0.028,"HQE139610",0.001
0.004,0.0184,0,0,0.009,0.02,0,0.177,22,0.0075,0.0026,0.021,0.02,"HQD127130",0
0.006,0.0015,0,0,0.01,0.02,0,0.08,16,0.0089,0.0038,0.037,0.035,"HQC136450",0.002
0.004,0.0311,0,1,0.016,0.02,0,0.188,22,0.0074,0.0031,0.019,0.017,"HQC007450",0
0.004,0.035,0,0,0.014,0.01,0,0.193,16,0.0057,0.0031,0.027,0.026,"HQG163870",0
0.006,0.019,0,0,0.016,0.02,0,0.201,19,0.0073,0.0041,0.016,0.014,"HQZ116100",0
0.004,0.0367,0,2,0.018,0.05,0,0.139,21,0.0068,0.0031,0.032,0.026,"HQG070350",0
0.004,0.0191,0,0,0.023,0.02,0,0.14,16,0.0089,0.0037,0.023,0.022,"HQJ141680",0
0.006,0.0419,0,0,0.008,0.02,0,0.198,20,0.0072,0.0027,0.025,0.024,"HQD029620",0
0.006,0.0393,0,0,0.015,0.02,0,0.192,12,0.008,0.0034,0.019,0.018,"HQZ097780",0
0.005,0.0018,0,1,0.098,0.02,0,0.141,14,0.0198,0.0086,0.033,0.032,"HQF078960",0
0.005,0.0593,0,0,0.014,0.02,0,0.79,31,0.0094,0.0024,0.032,0.031,"HQB088250",0
0.006,0.0386,1,0,0.009,0.02,0,0.191,14,0.0087,0.0032,0.026,0.023,"HQA064380",0
0.004,0.0405,0,0,0.009,0.02,0,0.192,15,0.0083,0.0031,0.026,0.025,"HQH123830",0
0.005,0.0019,0,0,0.018,0.02,0,0.146,19,0.0088,0.0035,0.034,0.032,"HQZ113700",0.001
0.005,0.1812,0,0,0.018,0.02,0,0.834,28,0.0115,0.0031,0.018,0.017,"HQZ152150",0
0.006,0.1805,0,0,0.026,0.03,0,0.443,18,0.0131,0.0037,0.024,0.023,"HQE078660",0.001
0.007,0.041,0,5,0.015,0.02,0,0.201,20,0.0053,0.004,0.029,0.027,"HQY156670",0
0.005,0.175,0,0,0.013,0.02,0,0.445,25,0.0104,0.0025,0.033,0.031,"HQE147100",0
0.005,0.1543,0,1,0.016,0.02,0,0.873,30,0.0098,0.0036,0.029,0.027,"HQX103760",0.001
0.006,0.0183,14,0,0.009,0.01,0,0.152,16,0.0068,0.0029,0.018,0.017,"HQA071430",0
0.005,0.0386,0,0,0.013,0.02,0,0.192,18,0.009,0.0029,0.029,0.028,"HQF157440",0
0.005,0.0016,0,0,0.019,0.03,0,0.075,12,0.0092,0.0038,0.035,0.035,"HQF078810",0.001
0.006,0.039,0,0,0.011,0.02,0,0.201,16,0.0089,0.0031,0.043,0.042,"HQA065360",0
0.005,0.0573,0,1,0.018,0.02,0,0.348,26,0.0063,0.003,0.039,0.038,"HQH103600",0
0.006,0.0632,0,84,0.024,0.02,0,0.797,32,0.0123,0.003,0.035,0.033,"HQX026760",0.002
0.005,0.0014,0,0,0.021,0.02,0,0.065,14,0.0082,0.003,0.031,0.03,"HQC021150",0.002
0.005,0.039,0,1,0.017,0.02,0,0.198,16,0.0092,0.0036,0.019,0.018,"HQB032130",0
0.006,0.0377,0,0,0.018,0.02,0,0.201,16,0.0093,0.003,0.024,0.023,"HQA071070",0
0.004,0.0358,0,0,0.013,0.02,0,0.191,19,0.0072,0.0034,0.029,0.029,"HQB148660",0
0.006,0.0321,0,0,0.021,0.02,0,0.195,29,0.0107,0.0033,0.035,0.032,"HQE110710",0
0.006,0.1463,0,0,0.022,0.02,0,0.479,31,0.0126,0.0024,0.025,0.023,"HQG032200",0.001
0.007,0.0752,1,1,0.031,0.02,0,0.597,39,0.0182,0.0028,0.03,0.029,"HQD020200",0.001
0.005,0.0576,0,0,0.014,0.02,0,0.339,21,0.0094,0.0028,0.037,0.036,"HQZ127200",0.001
0.005,0.027,0,0,0.012,0.02,0,0.188,39,0.0085,0.0029,0.033,0.032,"HQD123510",0
0.005,0.0348,0,0,0.025,0.02,0,0.201,16,0.0088,0.0031,0.027,0.026,"HQG136890",0
0.006,0.0394,0,1,0.013,0.02,0,0.168,23,0.0092,0.0035,0.024,0.023,"HQX126710",0
0.005,0.0795,3,2,0.012,0.03,0,0.895,33,0.0191,0.0021,0.027,0.026,"HQD109790",0.001
0.006,0.0392,0,0,0.017,0.02,0,0.211,19,0.0078,0.0038,0.026,0.024,"HQX057050",0
0.004,0.0317,0,0,0.013,0.02,0,0.192,23,0.0069,0.0023,0.024,0.023,"HQB151160",0
0.005,0.04,0,0,0.02,0.02,0,0.192,21,0.0078,0.0039,0.026,0.024,"HQX056860",0
0.006,0.0387,0,0,0.02,0.02,0,0.192,19,0.0073,0.0041,0.027,0.025,"HQB003990",0
0.006,0.0308,0,0,0.009,0.02,0,0.204,12,0.0093,0.003,0.029,0.028,"HQE069500",0
0.007,0.1334,0,2,0.012,0.02,0,1.184,33,0.0109,0.002,0.016,0.014,"HQY109610",0.001
0.005,0.0383,0,0,0.019,0.02,0,0.194,26,0.007,0.0031,0.025,0.024,"HQC041560",0
0.004,0.0696,0,0,0.012,0.02,0,0.493,33,0.0123,0.003,0.041,0.039,"HQJ002250",0
0.005,0.0381,0,0,0.012,0.02,0,0.197,11,0.0081,0.0032,0.025,0.025,"HQE030210",0
0.005,0.002,0,2,0.012,0.02,0,0.071,12,0.0099,0.0034,0.03,0.028,"HQA011130",0.002
0.006,0.0018,0,0,0.032,0.03,0,0.135,15,0.0103,0.0033,0.033,0.032,"HQC142930",0.002
0.005,0.0344,0,0,0.012,0.02,0,0.19,15,0.0098,0.0033,0.029,0.027,"HQE058060",0
0.005,0.0349,0,0,0.008,0.02,0,0.184,16,0.0068,0.0036,0.024,0.023,"HQZ148510",0
0.005,0.0361,0,0,0.018,0.02,0,0.196,16,0.01,0.0033,0.032,0.031,"HQC030700",0
0.006,0.0604,0,0,0.019,0.03,0,0.799,29,0.0095,0.0024,0.033,0.032,"HQZ094440",0.001
0.004,0.1157,0,1,0.022,0.01,0,0.293,27,0.0089,0.003,0.02,0.019,"HQG076110",0
0.005,0.0344,0,0,0.01,0.02,0,0.193,16,0.0087,0.0028,0.025,0.021,"HQG027720",0
0.006,0.0014,0,0,0.018,0.02,0,0.091,11,0.0107,0.0041,0.024,0.022,"HQA006080",0.001
0.004,0.04,0,2,0.02,0.02,0,0.199,30,0.0064,0.003,0.025,0.021,"HQE045340",0
0.004,0.0372,1,0,0.023,0.02,0,0.19,22,0.0075,0.0034,0.02,0.019,"HQJ028390",0
0.006,0.0791,2,0,0.027,0.02,0,0.897,33,0.0202,0.0021,0.024,0.023,"HQX006860",0.001
0.004,0.0387,0,0,0.01,0.01,0,0.202,17,0.0064,0.0029,0.021,0.019,"HQY046470",0
0.004,0.0184,0,1,0.02,0.02,0,0.183,17,0.006,0.003,0.027,0.025,"HQH049150",0
0.006,0.0338,0,0,0.009,0.02,0,0.199,21,0.0114,0.0032,0.026,0.023,"HQY046130",0.001
0.004,0.1375,1,16,0.023,0.02,0,1.181,23,0.0111,0.0027,0.026,0.025,"HQJ060500",0.001
0.004,0.0381,19,0,0.015,0.02,0,0.188,18,0.0097,0.0037,0.023,0.022,"HQH005910",0
0.004,0.0461,0,0,0.007,0.01,0,0.282,22,0.0097,0.0036,0.024,0.023,"HQF027780",0
0.005,0.0474,0,0,0.009,0.02,0,0.142,17,0.0061,0.0031,0.018,0.017,"HQC085210",0
0.005,0.0756,0,0,0.032,0.02,0,0.908,31,0.0207,0.004,0.026,0.022,"HQF148780",0.001
0.004,0.044,0,0,0.019,0.02,0,0.185,16,0.0079,0.0042,0.024,0.023,"HQH074720",0
0.005,0.0416,0,0,0.02,0.06,0,0.185,32,0.0099,0.003,0.037,0.036,"HQH115420",0
0.004,0.0358,0,0,0.019,0.02,0,0.209,28,0.0109,0.003,0.027,0.026,"HQC067730",0
0.005,0.1437,0,0,0.014,0.02,0,0.468,30,0.0086,0.003,0.025,0.025,"HQD131060",0
0.007,0.0595,0,0,0.022,0.03,0,0.792,33,0.0096,0.0024,0.033,0.032,"HQA086690",0
0.005,0.0374,12,0,0.021,0.02,0,0.242,27,0.0088,0.0029,0.039,0.037,"HQE124720",0
0.006,0.0028,18,0,0.059,0.07,0,0.548,28,0.0133,0.0029,0.016,0.015,"HQA160150",0.001
0.004,0.0364,0,0,0.021,0.02,0,0.195,19,0.01,0.0041,0.02,0.019,"HQF049560",0
0.005,0.0024,0,0,0.009,0.02,0,0.142,17,0.0108,0.0035,0.022,0.022,"HQE003240",0.004
0.004,0.0409,0,0,0.012,0.02,0,0.19,14,0.0067,0.0041,0.032,0.03,"HQC084990",0
0.005,0.0552,0,0,0.013,0.02,0,0.293,23,0.0103,0.0025,0.033,0.032,"HQA068750",0
0.005,0.0016,0,0,0.021,0.02,0,0.095,13,0.01,0.0034,0.033,0.031,"HQE127590",0.002
0.004,0.0834,0,0,0.011,0.02,0,0.311,26,0.0101,0.0042,0.038,0.037,"HQF022930",0.001
0.006,0.0215,0,0,0.023,0.03,0,0.193,15,0.0114,0.0044,0.029,0.027,"HQE085210",0
0.005,0.0369,0,1,0.016,0.02,0,0.193,19,0.0073,0.0038,0.018,0.015,"HQZ035760",0
0.006,0.0022,0,0,0.01,0.02,0,0.094,20,0.0093,0.0026,0.033,0.032,"HQA135960",0.001
0.005,0.0019,0,0,0.018,0.02,0,0.092,14,0.0102,0.0035,0.031,0.03,"HQG156580",0.001
0.006,0.0012,0,3,0.018,0.02,0,0.068,19,0.0094,0.0045,0.038,0.034,"HQY095530",0.001
0.007,0.0011,0,1,0.021,0.02,0,0.078,18,0.009,0.0031,0.03,0.028,"HQX159000",0.002
0.007,0.0414,0,0,0.018,0.02,0,0.146,12,0.0061,0.0037,0.019,0.018,"HQA162570",0
0.006,0.0365,0,1,0.01,0.02,0,0.178,18,0.0069,0.0034,0.018,0.016,"HQZ094570",0
0.007,0.0209,0,0,0.019,0.02,0,0.193,19,0.0107,0.0098,0.024,0.023,"HQZ000050",0
0.005,0.0343,0,0,0.018,0.02,0,0.198,17,0.0123,0.0038,0.018,0.017,"HQF149550",0
0.005,0.0401,0,0,0.017,0.02,0,0.184,16,0.0067,0.0035,0.03,0.03,"HQG012560",0
0.007,0.0195,0,0,0.011,0.03,0,0.195,18,0.0076,0.0033,0.022,0.021,"HQY151220",0
0.004,0.0461,0,0,0.007,0.01,0,0.282,22,0.0097,0.0036,0.024,0.023,"HQF027810",0
0.005,0.0416,13,0,0.011,0.02,0,0.226,11,0.0081,0.0038,0.031,0.031,"HQF086700",0
0.004,0.0384,0,0,0.019,0.02,0,0.185,13,0.0075,0.0033,0.024,0.023,"HQF101280",0
0.007,0.0433,12,0,0.019,0.02,0,0.204,21,0.0088,0.0033,0.025,0.024,"HQX056060",0
0.004,0.0382,0,0,0.014,0.02,0,0.188,22,0.0084,0.0027,0.022,0.02,"HQJ151360",0
0.006,0.0015,0,2,0.012,0.02,0,0.08,20,0.0103,0.0036,0.029,0.026,"HQY034180",0.001
0.004,0.0527,0,0,0.012,0.02,0,0.788,44,0.0114,0.002,0.038,0.037,"HQJ135750",0
0.005,0.0377,16,0,0.014,0.02,0,0.177,14,0.0103,0.0034,0.021,0.019,"HQZ071430",0
0.004,0.0421,0,0,0.011,0.01,0,0.284,37,0.0074,0.0025,0.029,0.028,"HQF027660",0
0.005,0.0016,0,0,0.011,0.02,0,0.109,18,0.0092,0.0034,0.024,0.024,"HQD103070",0.001
0.004,0.0327,0,0,0.015,0.02,0,0.213,26,0.0089,0.0029,0.023,0.022,"HQD128400",0
0.004,0.0365,0,3,0.012,0.01,0,0.198,12,0.0064,0.0035,0.02,0.019,"HQF053760",0
0.006,0.0392,0,0,0.02,0.01,0,0.204,19,0.0082,0.0042,0.027,0.025,"HQF001760",0
0.006,0.076,2,0,0.024,0.02,0,0.888,31,0.0186,0.003,0.026,0.025,"HQZ033210",0.001
0.007,0.0678,2,0,0.017,0.02,0.01,0.869,35,0.0105,0.0023,0.036,0.032,"HQD015670",0.002
0.005,0.002,0,0,0.01,0.01,0,0.099,16,0.0099,0.0024,0.024,0.023,"HQB036270",0.001
0.004,0.1258,0,1,0.024,0.02,0,0.297,23,0.0098,0.0027,0.03,0.029,"HQH022810",0.001
0.003,0.0022,0,0,0.013,0.01,0,0.056,12,0.0065,0.0035,0.032,0.03,"HQY054560",0.002
0.005,0.0021,0,1,0.026,0.02,0,0.061,17,0.007,0.0042,0.032,0.031,"HQY087210",0.003
0.006,0.0373,0,1,0.01,0.02,0,0.204,18,0.0078,0.0032,0.021,0.018,"HQY110980",0
0.004,0.058,0,0,0.021,0.02,0,0.348,32,0.0075,0.0032,0.038,0.037,"HQH061610",0
0.004,0.0341,11,0,0.016,0.02,0,0.198,20,0.0075,0.0027,0.025,0.024,"HQE003640",0
0.006,0.0447,0,0,0.01,0.01,0,0.192,20,0.0066,0.0028,0.026,0.025,"HQA089920",0
0.006,0.0579,0,0,0.023,0.02,0,0.812,37,0.009,0.0026,0.026,0.025,"HQB130620",0
0.006,0.0607,0,0,0.014,0.02,0,0.788,30,0.0092,0.0028,0.035,0.034,"HQC126290",0
0.005,0.0014,6,1,0.054,0.02,0,0.198,19,0.043,0.0097,0.038,0.037,"HQB040730",0.001
0.004,0.0413,0,0,0.013,0.02,0,0.188,26,0.0089,0.0026,0.022,0.021,"HQJ070710",0
0.005,0.0016,0,0,0.029,0.02,0,0.098,22,0.0088,0.0037,0.034,0.032,"HQY030710",0.001
0.005,0.0447,0,0,0.014,0.02,0,0.197,16,0.0092,0.003,0.023,0.021,"HQY062750",0
0.005,0.0729,0,0,0.011,0.05,0.01,0.612,28,0.0183,0.003,0.028,0.027,"HQF137420",0.001
0.006,0.0365,0,0,0.024,0.02,0,0.199,35,0.0083,0.0028,0.028,0.027,"HQC141310",0
0.006,0.0567,0,3,0.017,0.02,0,0.369,25,0.0115,0.0029,0.026,0.025,"HQX047200",0.001
0.006,0.0014,0,0,0.025,0.05,0.02,0.151,15,0.0563,0.0057,0.034,0.032,"HQC115030",0
0.006,0.0394,0,1,0.012,0.01,0,0.206,19,0.0056,0.0037,0.018,0.016,"HQY130590",0
0.005,0.1124,0,0,0.022,0.02,0,0.323,30,0.0101,0.0019,0.02,0.019,"HQB046440",0
0.006,0.1174,1,0,0.013,0.02,0,1.193,30,0.0142,0.0023,0.021,0.02,"HQC067640",0.001
0.007,0.0355,0,0,0.019,0.02,0,0.202,35,0.0066,0.0035,0.028,0.027,"HQD032280",0
0.004,0.1867,0,0,0.026,0.03,0,0.839,28,0.0132,0.003,0.019,0.018,"HQJ003320",0
0.007,0.1101,0,0,0.02,0.02,0,0.474,30,0.0101,0.0034,0.03,0.029,"HQX120210",0
0.006,0.0466,0,0,0.013,0.02,0,0.193,26,0.0068,0.0031,0.028,0.027,"HQC138010",0
0.006,0.0386,0,0,0.022,0.02,0,0.199,21,0.007,0.003,0.033,0.031,"HQD004140",0
0.006,0.048,0,0,0.019,0.02,0,0.29,23,0.0094,0.0038,0.024,0.022,"HQX059990",0
0.005,0.0018,14,0,0.05,0.07,0,0.526,17,0.0139,0.0035,0.022,0.021,"HQG159250",0.002
0.005,0.0385,0,0,0.018,0.02,0,0.189,23,0.0113,0.003,0.02,0.018,"HQX004180",0
0.007,0.0351,0,1,0.008,0.01,0,0.203,19,0.0055,0.0032,0.026,0.024,"HQY116200",0
0.005,0.0394,0,0,0.01,0.02,0,0.196,19,0.0081,0.0032,0.024,0.021,"HQF138790",0
0.005,0.0336,0,0,0.012,0.02,0,0.201,23,0.0067,0.003,0.018,0.017,"HQZ156540",0
0.004,0.0533,0,0,0.023,0.02,0,0.354,29,0.0104,0.0032,0.036,0.035,"HQE126730",0
0.005,0.0338,0,0,0.011,0.04,0,0.195,42,0.0072,0.0032,0.034,0.033,"HQZ154360",0
0.005,0.1147,0,0,0.021,0.02,0,0.445,33,0.0101,0.0035,0.022,0.02,"HQG029130",0
0.005,0.1863,0,0,0.012,0.02,0,0.846,29,0.0088,0.0027,0.022,0.021,"HQZ151930",0
0.005,0.0354,0,0,0.026,0.02,0,0.177,22,0.0085,0.0035,0.02,0.018,"HQX002610",0
0.004,0.0015,0,0,0.018,0.02,0,0.059,15,0.0079,0.0037,0.03,0.028,"HQG148280",0.002
0.004,0.0017,0,0,0.021,0.02,0,0.103,14,0.0103,0.0046,0.031,0.026,"HQF085430",0.001
0.007,0.0394,0,0,0.011,0.01,0,0.191,15,0.0074,0.0031,0.021,0.02,"HQB117250",0
0.005,0.071,0,0,0.014,0.02,0,0.887,34,0.0197,0.0019,0.026,0.025,"HQY058960",0.001
0.005,0.1148,0,0,0.021,0.02,0,1.187,31,0.0072,0.0036,0.02,0.018,"HQC069270",0.001
0.006,0.114,0,0,0.01,0.02,0,0.307,35,0.0132,0.0023,0.028,0.027,"HQZ095980",0.001
0.004,0.0405,0,0,0.016,0.02,0,0.2,18,0.0102,0.0032,0.025,0.024,"HQJ057090",0
0.005,0.0612,0,0,0.021,0.02,0,0.791,31,0.0125,0.0029,0.03,0.029,"HQC027010",0.001
0.004,0.0016,0,0,0.109,0.03,0,0.148,19,0.0203,0.0087,0.028,0.027,"HQF078900",0.001
0.006,0.0531,0,1,0.015,0.02,0,0.797,24,0.0118,0.0028,0.028,0.028,"HQE067040",0.001
0.006,0.1073,0,0,0.013,0.01,0,0.315,32,0.0082,0.0026,0.018,0.017,"HQB052040",0
0.004,0.0782,0,0,0.022,0.02,0,0.298,28,0.0108,0.003,0.029,0.024,"HQG080930",0
0.004,0.0563,0,0,0.011,0.02,0,0.785,31,0.0126,0.0026,0.037,0.037,"HQJ123960",0.001
0.007,0.0406,0,0,0.011,0.02,0,0.208,29,0.0065,0.0023,0.029,0.027,"HQZ002320",0.001
0.004,0.0355,0,0,0.025,0.02,0,0.183,18,0.0085,0.003,0.021,0.019,"HQF144700",0
0.005,0.0382,0,0,0.015,0.02,0,0.238,14,0.0063,0.0039,0.028,0.027,"HQZ169240",0
0.005,0.0795,3,1,0.023,0.02,0,0.898,39,0.0184,0.0027,0.026,0.025,"HQF123600",0.001
0.005,0.0372,0,0,0.02,0.02,0,0.181,18,0.0114,0.0047,0.025,0.024,"HQG149050",0
0.006,0.0368,20,0,0.011,0.02,0,0.175,19,0.0084,0.0038,0.025,0.023,"HQZ071730",0
0.005,0.0016,0,0,0.009,0.02,0,0.064,16,0.0098,0.004,0.036,0.035,"HQH032860",0.002
0.005,0.0385,11,0,0.011,0.02,0,0.186,14,0.0078,0.0028,0.022,0.021,"HQG154160",0
0.004,0.0189,0,0,0.012,0.02,0,0.139,22,0.01,0.0029,0.029,0.028,"HQF054230",0
0.006,0.0319,0,0,0.018,0.02,0,0.191,30,0.0079,0.0027,0.033,0.03,"HQA033890",0
0.004,0.0026,15,3,0.076,0.07,0,0.548,19,0.0154,0.0028,0.033,0.031,"HQF041380",0.002
0.007,0.0166,0,0,0.01,0.02,0,0.188,20,0.0071,0.0032,0.015,0.014,"HQD030980",0
0.007,0.0544,0,0,0.016,0.01,0,0.34,21,0.0063,0.0029,0.028,0.027,"HQA143070",0
0.004,0.0302,0,0,0.012,0.01,0,0.203,19,0.0055,0.003,0.02,0.019,"HQH127930",0
0.004,0.055,0,0,0.022,0.02,0,0.789,33,0.012,0.0028,0.027,0.023,"HQH085960",0.001
0.007,0.0012,0,0,0.018,0.02,0,0.075,17,0.0095,0.0039,0.027,0.025,"HQX158520",0.002
0.004,0.0367,13,0,0.01,0.02,0,0.259,24,0.0119,0.0025,0.039,0.037,"HQG107640",0
0.005,0.0353,0,0,0.013,0.02,0,0.201,19,0.0079,0.0026,0.026,0.024,"HQA031530",0
0.006,0.002,0,0,0.017,0.02,0,0.094,24,0.01,0.0033,0.026,0.025,"HQZ005300",0.001
0.007,0.0021,0,0,0.018,0.02,0,0.097,18,0.0095,0.0033,0.026,0.026,"HQA140170",0.001
0.004,0.0022,0,0,0.009,0.02,0,0.073,16,0.0081,0.0029,0.029,0.027,"HQE030590",0.003
0.006,0.1149,0,0,0.011,0.01,0,0.3,30,0.0074,0.0028,0.023,0.022,"HQY017080",0
0.006,0.034,0,0,0.01,0.02,0,0.182,16,0.0089,0.0036,0.02,0.019,"HQA073870",0
0.005,0.0373,0,0,0.011,0.02,0,0.202,30,0.0108,0.0026,0.027,0.026,"HQD128060",0
0.005,0.0329,0,1,0.01,0.02,0,0.2,17,0.008,0.0033,0.028,0.026,"HQZ052850",0
0.004,0.0738,1,0,0.018,0.02,0,0.6,39,0.019,0.003,0.034,0.033,"HQC000590",0
0.005,0.0375,0,0,0.01,0.02,0,0.195,14,0.0074,0.0026,0.032,0.03,"HQE069660",0
0.004,0.0532,0,0,0.012,0.02,0,0.326,42,0.0086,0.003,0.024,0.023,"HQG002060",0
0.006,0.0382,0,0,0.015,0.02,0,0.2,18,0.0081,0.0034,0.018,0.016,"HQZ036170",0
0.004,0.0398,0,0,0.014,0.02,0,0.191,22,0.0095,0.0033,0.029,0.026,"HQJ053320",0
0.005,0.0366,0,0,0.011,0.02,0,0.2,15,0.0098,0.003,0.028,0.027,"HQG020290",0
0.004,0.1798,0,1,0.034,0.01,0,0.752,35,0.0083,0.0039,0.032,0.03,"HQG093160",0.001
0.007,0.0768,2,0,0.014,0.02,0,0.906,37,0.0202,0.0027,0.024,0.022,"HQZ033040",0.001
0.005,0.0403,0,0,0.01,0.02,0,0.192,16,0.0078,0.0024,0.027,0.025,"HQC025740",0
0.004,0.0428,0,0,0.019,0.02,0,0.216,22,0.0086,0.0046,0.028,0.027,"HQJ042520",0
0.005,0.0405,0,1,0.019,0.02,0,0.293,29,0.008,0.0032,0.033,0.03,"HQX108710",0
0.007,0.0193,0,0,0.01,0.02,0,0.143,18,0.0068,0.0029,0.022,0.02,"HQD047200",0.002
0.006,0.0584,0,1,0.011,0.02,0,0.793,22,0.0103,0.0026,0.035,0.034,"HQB093970",0.001
0.006,0.0391,12,0,0.023,0.02,0,0.241,19,0.0067,0.0033,0.032,0.031,"HQA163280",0
0.007,0.0458,0,1,0.011,0.02,0,0.191,21,0.0073,0.0028,0.022,0.02,"HQA089820",0
0.005,0.07,0,2,0.012,0.02,0,0.494,36,0.013,0.0019,0.041,0.04,"HQC020020",0
0.005,0.1222,0,1,0.011,0.02,0,0.301,30,0.0112,0.0027,0.026,0.026,"HQC063890",0
0.005,0.0019,0,0,0.018,0.02,0,0.146,19,0.0088,0.0035,0.034,0.032,"HQZ113750",0.001
0.006,0.0375,0,0,0.011,0.02,0,0.191,27,0.0077,0.0026,0.033,0.032,"HQB051380",0
0.007,0.0386,0,0,0.016,0.02,0,0.209,22,0.0106,0.0033,0.024,0.023,"HQA092140",0
0.005,0.0566,1,0,0.009,0.02,0,0.345,21,0.0086,0.0029,0.03,0.029,"HQE126950",0.001
0.004,0.0015,0,0,0.011,0.01,0,0.066,15,0.0067,0.0038,0.031,0.029,"HQY054830",0.002
0.006,0.0372,11,0,0.016,0.02,0,0.187,24,0.009,0.0028,0.019,0.018,"HQD056080",0
