SLAB气,SLAB辨捞,SLAB吝樊,SLAB弥檬历厘困摹,楷林备盒,窜困郴鉴辑,乞闭TS,傈窜_沥沥LT,己盒AS,己盒C,己盒B,己盒CA,己盒CU,己盒CR,己盒MO,己盒MN,己盒N,己盒P,己盒S,己盒TOTALAL,己盒SOLAL,己盒V,沥沥_厘涝LT,傈历厘困摹内靛,惯瘤具靛器牢飘,胶墨俏咯何,前疙,岿备盒,沥沥_拘楷累诀瘤矫LT,厘涝柯档,HCR角利备盒
1440,11400,32.09,2GA,2楷林,30.0,281.0,0.0,0.007,0.0017,0,5,0.018,0.02,0.0,0.101,21.0,0.0095,0.0035,0.03,0.027,0.001,11.9,5GG,5A,0,HR,10,2.4,516,0
1260,8430,20.77,2GA,2楷林,11.0,316.0,0.0,0.005,0.0363,0,0,0.018,0.02,0.0,0.199,18.0,0.009,0.0036,0.027,0.026,0.0,5.1,3GB,5A,0,HR,6,-4.1,554,0
1180,8250,19.03,3GB,2楷林,71.0,418.0,0.0,0.005,0.1102,0,0,0.02,0.03,0.0,0.428,23.0,0.0135,0.0029,0.013,0.012,0.0,10.4,3GB,5A,0,HGI,2,2.7,442,0
980,9620,18.43,2GD,2楷林,37.0,312.0,0.0,0.004,0.0023,18,0,0.061,0.07,0.0,0.553,16.0,0.0144,0.0032,0.031,0.03,0.002,8.0,5GG,4C,0,BP,9,-0.4,494,0
1260,11360,27.98,2GB,2楷林,26.0,347.0,0.0,0.004,0.0374,10,0,0.016,0.02,0.0,0.194,16.0,0.0089,0.0036,0.022,0.02,0.0,6.1,5GG,5A,0,CR,5,-5.3,653,0
1080,10560,22.3,2GC,2楷林,45.0,452.0,0.0,0.004,0.0585,0,2,0.022,0.02,0.0,0.814,28.0,0.0119,0.0022,0.032,0.026,0.001,6.1,5GG,4C,0,PO,7,-5.9,409,0
1380,11120,30.0,2L2,1楷林,14.0,316.0,0.0,0.005,0.0454,0,0,0.009,0.02,0.0,0.136,17.0,0.0113,0.004,0.027,0.026,0.0,13.8,5GG,7A,0,CR,7,8.8,436,0
900,9440,16.61,2GA,2楷林,73.0,393.0,0.0,0.005,0.0651,0,1,0.033,0.02,0.0,0.479,28.0,0.0132,0.0031,0.043,0.041,0.002,3.1,5GG,5A,0,BP,8,-7.4,682,0
1430,10900,30.47,2GA,2楷林,75.0,343.0,0.0,0.006,0.0462,0,0,0.01,0.02,0.0,0.184,34.0,0.0084,0.0031,0.024,0.023,0.0,7.4,3GB,5A,0,HGI,10,-3.0,669,0
1200,10250,24.05,2GB,2楷林,96.0,450.0,0.0,0.004,0.1486,0,0,0.013,0.02,0.0,0.488,28.0,0.0096,0.0026,0.021,0.02,0.0,15.0,5GG,5A,0,HR,8,4.0,414,0
1370,11830,31.68,2GD,2楷林,25.0,451.0,0.0,0.004,0.1454,0,0,0.015,0.02,0.0,0.502,30.0,0.0113,0.0025,0.022,0.02,0.0,59.3,5GG,4C,0,GI,8,51.8,357,0
1310,10660,27.3,3GB,2楷林,44.0,518.0,0.0,0.005,0.0756,2,0,0.01,0.02,0.0,0.904,21.0,0.0191,0.0026,0.023,0.022,0.001,13.7,3GB,5A,0,HR,12,-2.3,439,0
1130,8700,18.79,2GB,2楷林,74.0,419.0,0.0,0.004,0.1065,0,5,0.017,0.02,0.0,0.437,25.0,0.0098,0.003,0.026,0.025,0.0,9.8,5GG,5A,0,HGI,8,5.3,583,0
1260,11370,27.34,2GA,2楷林,2.0,259.0,11.0,0.006,0.0021,0,1,0.011,0.02,0.0,0.089,19.0,0.0091,0.0033,0.028,0.026,0.003,8.8,3GB,5A,1,CR,4,-5.5,345,0
1570,11380,34.37,2GA,2楷林,3.0,305.0,14.1,0.005,0.002,0,1,0.03,0.05,0.02,0.141,21.0,0.0468,0.0042,0.031,0.028,0.001,4.1,3GB,5A,1,GI,2,-12.6,230,1
1230,11790,27.67,2GA,2楷林,41.0,287.0,13.2,0.005,0.0019,0,0,0.009,0.01,0.0,0.147,21.0,0.0084,0.004,0.031,0.029,0.001,6.5,3GB,5A,1,HR,6,-0.9,192,1
1100,9390,20.19,2GA,2楷林,74.0,363.0,3.8,0.007,0.0355,19,6,0.014,0.02,0.0,0.188,17.0,0.0104,0.0036,0.022,0.022,0.0,2.2,2GB,5A,1,HR,2,0.0,591,0
1300,10380,26.38,2GA,2楷林,32.0,344.0,0.0,0.005,0.0442,0,0,0.008,0.02,0.0,0.214,17.0,0.0105,0.0036,0.023,0.022,0.0,8.1,5GG,5A,0,HGI,12,0.5,487,0
900,11800,20.43,2GC,2楷林,63.0,400.0,8.7,0.005,0.0713,0,0,0.025,0.03,0.0,0.483,33.0,0.0127,0.0032,0.051,0.05,0.001,2.8,3GB,4C,1,BP,7,-6.4,227,1
1530,11680,34.1,2GC,2楷林,17.0,254.0,13.7,0.006,0.002,0,0,0.019,0.02,0.0,0.07,16.0,0.008,0.0033,0.029,0.026,0.002,3.6,3GB,4C,1,EG,1,-2.2,272,1
1150,10390,23.36,2GB,2楷林,66.0,520.0,0.0,0.004,0.1411,0,1,0.014,0.02,0.0,0.845,28.0,0.0079,0.0038,0.021,0.02,0.001,7.6,5GG,5A,0,HR,7,-3.1,458,0
1250,11450,27.98,2GC,2楷林,56.0,351.0,0.0,0.004,0.032,11,0,0.02,0.02,0.0,0.189,22.0,0.006,0.0048,0.026,0.025,0.0,4.2,5GG,4C,0,CR,8,-0.7,539,0
1270,10340,25.67,2GC,2楷林,45.0,333.0,0.0,0.006,0.0343,0,0,0.017,0.02,0.0,0.197,24.0,0.0081,0.0037,0.029,0.028,0.0,5.4,3GB,4C,0,HR,11,-2.9,476,0
1200,11810,27.71,2GB,2楷林,26.0,514.0,0.0,0.004,0.0761,2,0,0.029,0.02,0.0,0.883,29.0,0.0168,0.0026,0.024,0.022,0.001,6.6,5GG,5A,0,HR,7,4.8,635,0
1290,8080,20.38,2GB,2楷林,27.0,460.0,0.0,0.005,0.061,0,1,0.013,0.03,0.0,0.79,38.0,0.0127,0.0027,0.043,0.041,0.001,5.0,5GG,5A,0,PO,12,1.0,611,0
1360,11780,30.82,2GC,2楷林,89.0,334.0,5.1,0.006,0.0371,0,0,0.02,0.02,0.0,0.196,18.0,0.007,0.004,0.028,0.026,0.0,2.9,3GB,4C,1,HR,11,-3.4,359,0
1260,9570,23.57,2GA,2楷林,41.0,326.0,0.0,0.004,0.0361,0,2,0.012,0.02,0.0,0.199,18.0,0.0103,0.003,0.026,0.023,0.0,6.7,5GG,5A,0,HR,4,-7.3,647,0
1150,8700,19.56,2GC,2楷林,91.0,414.0,0.0,0.006,0.1144,0,0,0.025,0.02,0.0,0.414,24.0,0.0109,0.0036,0.024,0.023,0.0,16.2,5GG,4C,0,HGI,11,-0.2,514,0
1310,7000,17.93,2GB,2楷林,90.0,481.0,0.0,0.006,0.0697,1,0,0.026,0.03,0.0,0.6,23.0,0.0195,0.0024,0.027,0.027,0.001,4.7,3GB,5A,0,GI,6,-6.1,623,0
1240,8660,20.99,2GC,2楷林,45.0,396.0,0.0,0.004,0.0749,0,0,0.016,0.01,0.0,0.459,30.0,0.0098,0.0021,0.031,0.029,0.0,7.2,5GG,4C,0,HR,9,-6.7,620,0
1280,11460,27.55,2GC,2楷林,31.0,268.0,5.3,0.004,0.0013,0,1,0.025,0.02,0.0,0.078,15.0,0.0086,0.0043,0.032,0.03,0.002,11.8,3GB,4C,1,HR,6,1.1,234,1
1200,8830,20.72,2GC,2楷林,54.0,358.0,0.0,0.004,0.0431,12,0,0.016,0.02,0.0,0.202,18.0,0.0093,0.003,0.02,0.018,0.0,12.5,5GG,4C,0,CR,9,0.3,432,0
1210,9680,22.9,2GC,2楷林,32.0,423.0,0.0,0.004,0.1211,0,0,0.015,0.02,0.0,0.305,29.0,0.0088,0.0029,0.026,0.026,0.0,11.1,5GG,4C,0,HGI,9,-0.5,593,0
1030,11010,21.64,2GC,2楷林,73.0,293.0,8.9,0.004,0.002,0,1,0.016,0.02,0.0,0.152,15.0,0.009,0.0034,0.033,0.032,0.002,7.0,3GB,4C,1,CR,8,-6.7,165,1
900,11700,20.59,2GA,2楷林,41.0,396.0,0.0,0.004,0.0674,0,0,0.023,0.02,0.0,0.488,33.0,0.014,0.0022,0.044,0.042,0.001,6.5,5GG,5A,0,BP,9,-5.6,550,0
1270,11120,27.61,3GC,2楷林,5.0,534.0,0.0,0.006,0.0788,2,0,0.028,0.02,0.0,0.906,37.0,0.0196,0.0023,0.028,0.027,0.001,8.1,3GB,4C,0,HR,1,2.1,513,0
1250,8230,20.11,2GA,2楷林,19.0,337.0,0.0,0.004,0.0376,0,0,0.013,0.05,0.0,0.143,18.0,0.0101,0.0033,0.034,0.033,0.0,5.7,5GG,5A,0,HR,7,-3.4,721,0
1310,11800,30.22,3GB,2楷林,15.0,330.0,0.0,0.005,0.0358,0,0,0.011,0.01,0.0,0.189,16.0,0.0077,0.0027,0.032,0.031,0.0,7.2,3GB,5A,0,HR,7,-5.7,625,0
1270,10510,26.09,3GB,2楷林,14.0,467.0,0.0,0.006,0.1839,0,0,0.014,0.02,0.0,0.457,37.0,0.0116,0.0029,0.023,0.021,0.002,9.6,3GB,5A,0,HR,10,-1.9,612,0
1030,9670,19.47,2GA,2楷林,90.0,330.0,0.0,0.005,0.0379,0,0,0.017,0.03,0.0,0.2,32.0,0.0073,0.0028,0.028,0.026,0.0,19.6,5GG,5A,0,HR,2,10.9,358,0
1340,10170,26.22,2GA,2楷林,13.0,310.0,9.5,0.005,0.0014,5,0,0.055,0.02,0.0,0.191,19.0,0.045,0.0092,0.039,0.038,0.0,0.6,3GB,5A,1,GI,8,-6.0,484,0
1140,7080,15.78,3GC,2楷林,69.0,457.0,0.0,0.006,0.0639,0,1,0.013,0.01,0.0,0.793,29.0,0.0082,0.0022,0.039,0.037,0.001,5.1,3GB,4C,0,PO,11,-7.3,617,0
1270,11100,27.56,2GC,2楷林,25.0,321.0,0.0,0.004,0.0014,6,0,0.056,0.02,0.0,0.188,15.0,0.0441,0.0093,0.039,0.038,0.001,8.1,5GG,4C,0,HR,6,-1.1,372,0
1180,10060,23.21,2GA,2楷林,20.0,300.0,0.0,0.004,0.0193,0,0,0.018,0.02,0.0,0.145,17.0,0.0084,0.0031,0.036,0.034,0.0,14.5,3GB,5A,0,HR,7,4.0,358,0
1310,8720,22.33,2GB,2楷林,22.0,339.0,0.0,0.005,0.0395,0,0,0.022,0.02,0.0,0.186,13.0,0.0132,0.0043,0.03,0.029,0.0,17.2,5GG,5A,0,HGI,8,13.9,376,0
1130,11430,25.25,2GA,2楷林,72.0,295.0,0.0,0.004,0.0204,0,1,0.01,0.02,0.0,0.193,15.0,0.01,0.0037,0.03,0.028,0.0,10.8,3GB,5A,0,CR,7,1.7,329,0
1260,8110,19.98,2GA,2楷林,70.0,363.0,0.0,0.005,0.0398,19,0,0.012,0.02,0.0,0.141,20.0,0.0094,0.0038,0.017,0.017,0.0,3.4,5GG,5A,0,HR,5,-4.6,558,0
1360,7330,19.49,2GA,2楷林,38.0,331.0,0.0,0.006,0.0401,0,0,0.019,0.02,0.0,0.216,21.0,0.0102,0.004,0.019,0.018,0.0,15.5,5GG,5A,0,FH,11,5.1,482,0
1460,11040,31.51,2GD,2楷林,17.0,253.0,0.0,0.007,0.0017,0,0,0.017,0.02,0.0,0.076,12.0,0.0078,0.0037,0.031,0.03,0.002,18.0,3GB,4C,0,CR,1,11.3,140,1
