"SLAB번호","정정_장입LT","전저장위치코드","발지야드포인트","스카핑여부","품명","롤단위지정구분","월구분","정정_압연작업지시LT","장입온도"
"SQ63440 021",19.6,"5GG","5A",0,"HR",,3,8.5,154
"SQ52545 021",7.7,"3GB","4C",1,"GI",,11,-4,261
"SQ80184 561",17,"5GG","5A",0,"HR",,9,8.3,250
"SQ67616 021",11.3,"3GB","5A",1,"FH",,5,-0.6,243
"SQ52993 531",2.7,"3GB","4C",1,"GI","F",11,-5.9,270
"SQ51873 031",15.2,"5GG","4C",1,"HR",,11,6.1,234
"SQ52640 511",14.1,"3GB","4C",0,"HR","D",11,8.4,294
"SQ51280 061",14.6,"3GB","5A",0,"CR",,10,4.6,293
"SQ50174 041",10.9,"3GB","5A",1,"GI","F",10,-1.2,224
"SQ61298 521",13,"3GB","4C",0,"HR",,2,-0.8,246
"SQ59547 521",19.9,"5GG","5A",0,"HR",,2,8.2,286
"SQ58295 531",3.8,"3GB","4C",1,"HR",,1,-4.8,223
"SQ54628 041",17,"5GG","5A",0,"HR","F",12,1.8,284
"SQ54194 571",18.4,"5GG","4C",0,"HR",,12,8.3,238
"SQ63560 041",0.5,"3GB","5A",1,"HR",,3,-8.5,276
"SQ63735 511",11.1,"3GB","4C",1,"HR",,3,2.2,203
"SQ60157 561",10.7,"5GG","4C",0,"HR","B",2,-0.2,268
"SQ72204 061",4.2,"3GB","4C",1,"HR",,6,-0.2,273
"SQ53095 021",8.4,"3GB","4C",1,"EG","F",11,-3.1,291
"SQ63822 511",11.6,"5GG","4C",0,"HGI","D",3,-4.3,263
"SQ56532 061",16.3,"5GG","5A",0,"HR",,1,8.5,210
"SQ69317 521",12.5,"3GB","5A",0,"CR","F",5,-0.5,284
"SQ51764 041",12.5,"3GB","5A",1,"GI","F",11,-4.1,169
"SQ54986 511",2.5,"3GB","4C",1,"GI","F",12,-3.4,269
"SQ62379 021",4.2,"3GB","4C",1,"GI","F",3,-2.7,236
"SQ78217 021",12.3,"3GB","5A",0,"BP",,8,1.9,285
"SQ64514 051",14.2,"5GG","5A",0,"FH",,4,5.3,248
"SQ57274 031",15,"5GG","5A",0,"BP",,1,9.7,275
"SQ72156 031",7.2,"3GB","4C",1,"GI",,6,0.9,264
"SQ74079 051",17,"3GB","5A",0,"HR","D",7,10.7,295
"SQ68215 511",13.2,"3GB","4C",1,"EG","F",5,5.7,1151
"SQ50860 071",14.6,"3GB","4C",1,"HR",,10,-0.6,243
