"SLAB번호","정정_장입LT","전저장위치코드","발지야드포인트","스카핑여부","품명","롤단위지정구분","월구분","정정_압연작업지시LT","장입온도"
"SQ49114 021",10.8,"5GG","5A",0,"HR","B",10,5.4,460
"SQ57193 531",11.3,"3GB","5A",0,"HR","D",1,-2.3,460
"SQ66240 041",8.5,"3GB","5A",0,"CR",,4,-0.6,545
"SQ58024 551",15.2,"5GG","5A",0,"HR","B",1,7.7,316
"SQ50389 511",17.1,"5GG","5A",0,"HGI","F",10,6.7,375
"SQ74532 511",9,"5GG","5A",0,"CR",,7,1.2,546
"SQ50207 051",8.7,"5GG","5A",0,"HR",,10,-1.9,499
"SQ74183 041",5.3,"5GG","5A",0,"HR",,7,-4,672
"SQ72587 521",8.3,"3GB","5A",1,"CR",,6,-0.8,377
"SQ80475 021",5.6,"3GB","4C",0,"PO","B",9,-4.3,649
"SQ61252 031",11.2,"5GG","5A",0,"HGI","F",2,-3.5,397
"SQ65590 531",7.6,"3GB","4C",1,"GI","D",4,-4.6,339
"SQ61665 541",8.3,"3GB","5A",0,"HGI","F",3,-1.4,527
"SQ66808 011",8.2,"5GG","5A",0,"HR",,4,-5.1,437
"SQ80199 041",8.3,"5GG","4C",0,"HGI","D",9,-2.9,538
"SQ59016 521",10,"5GG","5A",0,"HR",,2,4,400
"SQ56707 031",13.6,"3GB","5A",0,"GI","B",1,7.6,422
"SQ77395 521",6.6,"3GB","4C",0,"HGI","F",8,-0.4,498
"SQ58174 041",5.2,"5GG","4C",0,"GI",,1,-9.5,492
"SQ73405 521",12.2,"5GG","4C",0,"GA",,7,1.7,358
"SQ77178 551",5.6,"3GB","5A",0,"PO","B",8,-0.4,519
"SQ60409 511",8.2,"3GB","4C",1,"CR",,2,-1.5,342
"SQ53807 521",10.1,"3GB","5A",0,"HGI","D",12,2.4,502
"SQ63542 061",11.4,"5GG","5A",0,"HGI","F",3,5.9,489
"SQ78626 021",4.4,"5GG","4C",0,"HGI","D",9,-4.7,719
"SQ59305 551",19.2,"3GB","5A",0,"HGI","F",2,1.5,439
"SQ71588 541",9.1,"5GG","5A",0,"HR",,6,-1.9,475
"SQ73686 011",2,"3GB","5A",0,"HR",,7,-7.7,655
"SQ59088 551",14.2,"5GG","5A",0,"CR",,2,1.4,305
"SQ63082 011",13.4,"3GB","4C",0,"GI",,3,0.3,391
"SQ80503 521",10.4,"5GG","5A",0,"PO","D",9,1.4,488
"SQ62558 531",10.3,"5GG","4C",0,"HR","D",3,1.4,491
"SQ65219 031",4.1,"3GB","5A",0,"CR",,4,-1.4,696
"SQ71737 531",5.8,"5GG","4C",0,"PO","B",6,-5.8,676
"SQ72849 511",8.5,"3GB","4C",0,"CR",,7,0.8,417
"SQ65912 021",8,"5GG","5A",0,"CR",,4,-6.3,594
"SQ74518 031",8.8,"5GG","4C",1,"GI",,7,-0.6,308
"SQ77371 041",4.5,"5GG","4C",0,"CR",,8,-3,628
"SQ61501 041",4.4,"3GB","4C",0,"GA","B",2,-6.6,680
"SQ55230 021",5.4,"5GG","5A",0,"HR",,12,-8.8,627
"SQ64846 021",6.2,"5GG","5A",0,"FH","B",4,-3.2,634
"SQ79183 011",2.9,"3GB","5A",0,"HR","B",9,-2.8,679
"SQ68172 051",3.5,"3GB","4C",0,"HR",,5,-8.1,730
"SQ78265 031",6,"3GB","5A",0,"GI",,8,-6.8,609
"SQ57734 541",5.5,"3GB","5A",0,"HR",,1,-4.3,717
"SQ53064 541",10.7,"3GB","5A",0,"HGI","F",11,-2.4,517
"SQ61523 041",11.2,"5GG","5A",0,"HR",,2,5.4,502
"SQ55273 011",13.8,"5GG","5A",0,"HR",,12,6.1,347
"SQ72650 561",6,"5GG","5A",0,"HR",,6,-1.5,685
"SQ60847 041",12.4,"5GG","5A",0,"FH",,2,1,410
"SQ80472 061",7.5,"5GG","5A",0,"CR",,9,-1.7,510
"SQ75880 011",7.6,"5GG","4C",0,"HR","B",8,-4.9,580
"SQ70816 051",3.8,"3GB","4C",0,"HR",,6,-3.5,626
"SQ74011 021",4.8,"5GG","5A",0,"CR",,7,-4.4,628
"SQ71602 541",16.2,"5GG","4C",0,"HR","F",6,5,477
"SQ59588 561",8.2,"5GG","5A",0,"CR",,2,-3.9,574
"SQ74509 541",3.4,"3GB","5A",0,"GI","B",7,0.5,597
"SQ78781 521",7.6,"5GG","5A",0,"HGI","F",9,-3.3,494
"SQ53727 541",9.5,"5GG","5A",0,"HR","D",12,-5.3,410
"SQ53860 011",12.8,"3GB","4C",0,"HR",,12,2.6,329
"SQ65121 011",10.1,"5GG","5A",0,"HGI","D",4,-4.7,505
"SQ68499 531",4.5,"3GB","5A",1,"HR","B",5,-9.3,464
"SQ55071 041",3.3,"5GG","5A",0,"GA",,12,-0.2,555
"SQ49554 031",10.2,"3GB","5A",0,"HR",,10,-1.7,447
"SQ72228 041",9.5,"5GG","5A",0,"PO","D",6,6.1,504
"SQ77075 031",2.7,"3GB","5A",1,"GI","F",8,-2.4,508
"SQ51320 521",1.1,"3GB","5A",1,"GI","F",10,-5.6,384
"SQ56870 041",9.6,"3GB","4C",0,"HR",,1,0.2,450
"SQ76835 531",3.7,"3GB","4C",1,"CR",,8,-5.9,333
"SQ73591 051",7,"3GB","4C",0,"FH",,7,-2.7,536
"SQ52823 061",11.8,"5GG","5A",0,"HR","D",11,5.7,373
"SQ51264 031",8.9,"3GB","5A",1,"EG","F",10,0.3,360
"SQ72401 511",8.3,"5GG","5A",0,"HR",,6,-1.7,415
"SQ76880 531",9,"3GB","5A",0,"HGI","D",8,-0.3,619
"SQ54161 551",16,"5GG","4C",0,"HR","B",12,6.7,326
"SQ60654 021",6.4,"3GB","4C",0,"BP",,2,-2.4,601
"SQ67063 531",6.6,"5GG","5A",0,"HR",,4,-6.3,521
"SQ67502 541",4.5,"5GG","4C",0,"HR",,5,0.6,618
"SQ78702 531",10.9,"5GG","5A",0,"HR",,9,2,503
"SQ52495 561",3.3,"3GB","4C",0,"HR",,11,-1.4,598
"SQ63325 031",13.8,"5GG","5A",0,"HR","B",3,1.8,411
"SQ67980 531",6.9,"3GB","5A",0,"HR","D",5,-1.3,566
"SQ78700 541",10.5,"5GG","5A",0,"PO","B",9,2.6,493
"SQ54146 041",15.6,"5GG","5A",0,"HGI","F",12,3.5,436
"SQ70489 031",7.6,"5GG","4C",0,"FH",,6,-2,414
"SQ65287 021",3,"5GG","5A",0,"FH",,4,-6.2,668
"SQ66646 541",9.4,"3GB","5A",0,"HR","D",4,4.1,579
"SQ75304 051",7.8,"3GB","5A",0,"CR",,7,-1.6,535
"SQ63755 521",8.5,"3GB","4C",0,"HGI","F",3,0.9,416
"SQ55182 531",5.8,"3GB","4C",0,"HGI","F",12,-2.2,541
"SQ60825 541",13.3,"5GG","5A",0,"HR",,2,0.9,425
"SQ67856 561",10.1,"5GG","5A",0,"HR","F",5,-0.9,440
"SQ72228 511",5.1,"3GB","5A",0,"PO","B",6,-5,557
"SQ55903 061",10.3,"3GB","5A",0,"HR","F",12,6.7,507
"SQ51371 521",7.1,"3GB","5A",1,"EG","F",10,-4.1,374
"SQ62176 521",11.4,"5GG","5A",0,"GI","B",3,-0.6,521
"SQ54503 031",5.5,"5GG","5A",0,"HR","D",12,-7.7,678
"SQ64942 041",8.9,"5GG","5A",0,"HGI","F",4,2,445
"SQ55304 521",10.9,"5GG","5A",0,"GI",,12,-1.9,410
"SQ59614 051",11.2,"5GG","5A",0,"HR","D",2,-1.5,547
"SQ64395 031",13.6,"5GG","4C",0,"GI","B",3,2.1,465
"SQ52876 541",14.2,"5GG","4C",0,"CR","B",11,2.7,366
"SQ73876 521",5.1,"3GB","5A",0,"PO","B",7,0.2,685
"SQ71870 541",2.7,"3GB","4C",0,"CR","F",6,-3.6,574
"SQ55848 561",3,"5GG","4C",0,"PO","F",12,-3.3,619
"SQ79670 041",8.5,"5GG","5A",0,"HGI","F",9,-4.6,443
"SQ60736 021",7.6,"3GB","5A",0,"HR","D",2,-5.5,440
"SQ75646 521",34.8,"5GG","4C",1,"PO","G",8,27.2,393
"SQ68902 041",11.7,"3GB","4C",1,"HR","B",5,-3.3,348
"SQ58022 021",5.5,"3GB","5A",0,"HR","B",1,-4.5,453
"SQ60595 521",12.2,"5GG","5A",0,"FH",,2,2.6,469
"SQ67903 541",9.4,"3GB","4C",0,"PO","B",5,4.4,432
"SQ49885 031",12,"5GG","5A",0,"HR","B",10,-2,606
"SQ72420 551",6.7,"5GG","4C",0,"CR",,6,-0.5,544
"SQ75838 031",6.5,"5GG","5A",0,"HGI","D",8,-1.1,662
"SQ69811 541",4.3,"3GB","5A",1,"HR","B",5,-11.3,398
"SQ73181 041",4.9,"5GG","4C",0,"HR",,7,-5.6,703
"SQ69557 531",4.7,"5GG","4C",0,"GI",,5,-0.4,578
"SQ78269 581",10.8,"3GB","4C",0,"PO","B",8,4,311
"SQ70622 071",6.1,"3GB","5A",0,"PO","G",6,-4.8,531
"SQ64065 041",7.7,"5GG","5A",0,"CR",,3,-1.4,561
"SQ54784 521",14.5,"3GB","4C",0,"CR",,12,9.1,403
"SQ61533 041",3.2,"3GB","4C",1,"HR","B",2,-3.2,374
"SQ76156 041",3,"3GB","4C",0,"CR",,8,-1.3,631
"SQ77305 511",5.4,"5GG","4C",0,"CR",,8,-5.9,633
"SQ56968 051",8.2,"5GG","5A",0,"HR","D",1,-2.8,572
"SQ70161 071",11.8,"5GG","4C",0,"HR","D",6,2.3,441
"SQ71719 551",5.6,"5GG","5A",0,"HR",,6,-3.3,667
"SQ60407 031",8.8,"5GG","4C",0,"CR",,2,-1.1,588
"SQ52570 031",7.1,"5GG","4C",0,"HR","D",11,-5.6,578
"SQ49650 051",16.2,"3GB","5A",0,"HGI","F",10,4.7,384
"SQ65577 051",11.3,"5GG","5A",0,"HGI","F",4,-0.8,420
"SQ71075 071",1.5,"3GB","4C",1,"HR","B",6,-6.6,496
"SQ49759 021",10.4,"5GG","4C",0,"HGI","D",10,-5.4,387
"SQ52211 051",5.6,"3GB","4C",0,"PO","G",11,-2.5,443
"SQ57339 011",11.6,"5GG","5A",0,"HR",,1,-1.6,462
"SQ54829 071",6,"5GG","5A",0,"HR","F",12,-2.3,630
"SQ64321 021",11.6,"3GB","5A",0,"CR",,3,2.2,308
"SQ78069 531",8.6,"5GG","4C",0,"GI","D",8,5.7,479
"SQ69129 021",12.9,"3GB","4C",0,"GA","F",5,2.7,450
"SQ74159 531",15,"3GB","4C",0,"HR",,7,-4,332
"SQ59433 561",3.2,"3GB","5A",1,"HR",,2,-0.1,554
"SQ68870 031",16.3,"5GG","5A",0,"PO","F",5,5.4,393
"SQ49807 021",18.2,"3GB","5A",0,"PO","D",10,6.1,324
"SQ52975 021",7.1,"5GG","5A",0,"HR",,11,-3.4,627
"SQ78009 011",5,"3GB","4C",1,"FH","F",8,-1.4,383
"SQ62130 551",14.3,"5GG","5A",0,"HR","D",3,2.7,401
"SQ79854 531",6.2,"3GB","5A",0,"HGI","F",9,-3.5,679
"SQ63084 511",10.8,"5GG","5A",0,"HR","D",3,-1.2,618
"SQ55910 531",5.7,"3GB","5A",0,"HR",,12,-2.4,611
"SQ56406 021",9.4,"3GB","4C",0,"HR","F",1,4.7,468
"SQ75397 011",8.7,"5GG","5A",0,"HR",,7,1,503
"SQ70804 541",3.6,"3GB","5A",0,"HR","F",6,-7.9,671
"SQ53611 531",13.5,"5GG","5A",0,"PO","F",12,1.9,318
"SQ74621 061",4.4,"5GG","5A",0,"CR",,7,-3.8,669
"SQ80506 511",5.7,"5GG","5A",0,"HR",,9,-4.2,482
"SQ68501 031",0.8,"3GB","5A",1,"HR","B",5,-12.8,523
"SQ65004 561",6.1,"3GB","5A",0,"HGI","D",4,0.7,494
"SQ62134 021",15.4,"5GG","4C",0,"HR",,3,9.6,337
"SQ65592 541",12.8,"3GB","4C",0,"HGI","F",4,-0.8,336
"SQ68880 011",15.5,"5GG","5A",0,"PO","F",5,3.9,378
"SQ77278 021",9.8,"5GG","5A",0,"HR","D",8,1.1,645
"SQ74123 511",8.3,"5GG","4C",0,"HR","D",7,-3.3,537
"SQ75251 051",4.8,"3GB","5A",0,"CR",,7,-2.1,768
"SQ74109 541",14.7,"3GB","5A",0,"PO","B",7,6.7,455
"SQ60559 031",6.1,"3GB","5A",0,"PO","B",2,-2.4,560
"SQ53349 541",7.8,"5GG","5A",0,"HR",,11,0.3,543
"SQ63706 541",10.9,"3GB","5A",0,"HR","D",3,6.7,487
"SQ64067 531",16.3,"3GB","4C",0,"HR","F",3,9.5,324
"SQ64403 011",12.3,"5GG","4C",0,"FH","B",3,0.6,443
"SQ65590 541",5.3,"3GB","4C",1,"GI","D",4,-7,359
"SQ78551 511",4.1,"3GB","4C",0,"CR",,9,2.8,644
"SQ71816 561",8,"5GG","5A",0,"HR","F",6,-5.7,439
"SQ59305 531",19.3,"3GB","5A",0,"HGI","F",2,1.7,467
"SQ78391 511",16,"5GG","4C",0,"CR",,9,10.1,405
"SQ75795 541",6.1,"5GG","4C",0,"HGI","F",8,-1.8,537
"SQ56390 061",10.6,"5GG","5A",0,"HR",,1,3.5,391
"SQ58261 521",5.2,"3GB","4C",0,"HR",,1,-7.6,535
"SQ78556 041",5.2,"3GB","4C",0,"CR",,9,0.4,657
"SQ50712 041",8,"3GB","5A",0,"HR","B",10,4.4,604
"SQ78825 041",10.7,"5GG","5A",0,"HR","D",9,-2.4,575
"SQ65902 551",7.7,"5GG","4C",0,"GI","B",4,-4.6,531
"SQ70728 531",5.5,"3GB","5A",0,"CR",,6,-2.1,447
"SQ75708 511",17.4,"5GG","5A",0,"HGI","D",8,14.3,308
"SQ50908 541",7.2,"5GG","5A",0,"HR","B",10,-1.1,561
"SQ70831 031",9.3,"3GB","5A",0,"HR","B",6,1.4,392
"SQ72401 011",8.5,"5GG","5A",0,"HR",,6,-1.5,533
"SQ78628 051",2.7,"5GG","5A",0,"HR",,9,-8.7,766
"SQ80487 041",4.9,"3GB","5A",0,"CR",,9,-5.2,551
"SQ72666 041",11.9,"3GB","4C",0,"HR",,6,0.3,464
"SQ71109 031",11.5,"5GG","5A",0,"CR",,6,1.9,365
"SQ56903 041",24.6,"5GG","4C",0,"HGI","D",1,12.5,343
"SQ78205 511",8.4,"3GB","5A",0,"HGI","F",8,-1.8,522
"SQ78064 051",9.1,"5GG","4C",0,"GI","D",8,6.8,354
"SQ52638 531",7.9,"5GG","4C",0,"HR","D",11,1.3,484
"SQ50410 571",17,"3GB","5A",0,"HR","B",10,2.6,492
"SQ77560 521",10.7,"3GB","4C",0,"HR",,8,-2.5,416
"SQ64842 031",6.9,"5GG","5A",0,"GI","B",4,-1.9,589
"SQ59556 511",15.4,"5GG","4C",0,"HR","D",2,5.7,308
"SQ68420 051",10.7,"5GG","5A",0,"PO","B",5,1.2,372
"SQ76871 011",7.5,"5GG","5A",0,"HR","D",8,0.2,648
"SQ50282 041",15.4,"5GG","5A",0,"HR","B",10,5.1,465
"SQ68941 041",7.1,"3GB","5A",0,"HR",,5,-8.3,607
"SQ58713 531",4.4,"5GG","5A",0,"BP",,1,-2.7,632
"SQ59616 031",9.3,"5GG","4C",0,"GI","D",2,-1.5,471
"SQ69616 561",7.6,"5GG","4C",0,"PO","D",5,1.7,472
"SQ54902 521",4.6,"5GG","4C",0,"GI",,12,3,702
"SQ52209 551",5.5,"3GB","4C",0,"PO","G",11,-1.7,530
"SQ51657 061",14.4,"5GG","5A",0,"HR",,11,4.2,485
"SQ71547 551",0.1,,"5A",0,"HR",,6,-2.9,876
"SQ70533 041",7.5,"5GG","4C",0,"PO","B",6,1.3,608
"SQ79844 031",7.2,"3GB","5A",0,"HGI","F",9,-5.9,478
"SQ55976 541",10.1,"3GB","4C",0,"HR",,12,1.4,455
"SQ53869 011",9.9,"3GB","5A",0,"HR",,12,0.3,612
"SQ52845 041",8.5,"3GB","5A",0,"EG","F",11,-0.9,462
"SQ64959 011",13,"5GG","5A",0,"HR",,4,2.5,568
"SQ51065 521",8.6,"3GB","4C",1,"GI","F",10,3,330
"SQ77687 031",10,"5GG","4C",0,"HR","B",8,2.8,588
"SQ68999 041",9.7,"3GB","5A",0,"HR",,5,3.3,478
"SQ58713 571",3.9,"5GG","5A",0,"BP",,1,-3,594
"SQ54900 051",3.1,"5GG","4C",0,"CR",,12,-4,725
"SQ55678 531",9.3,"5GG","5A",0,"FH",,12,-0.1,526
"SQ55833 521",12,"3GB","4C",0,"HR","B",12,4.5,473
"SQ73874 021",5.4,"5GG","5A",0,"PO","B",7,-6.4,645
"SQ60329 531",11.5,"3GB","4C",0,"GI","B",2,1.5,511
"SQ75317 541",9.1,"5GG","5A",0,"FH",,7,-0.3,496
"SQ70728 031",5.4,"3GB","5A",0,"CR",,6,-2.2,609
"SQ58411 041",0.6,"3GB","5A",1,"HR",,1,-9.4,311
"SQ69740 021",3.6,"5GG","4C",0,"CR","B",5,-2.3,621
"SQ67836 511",7.2,"3GB","5A",1,"GI","F",5,0.9,333
"SQ53199 561",7,"3GB","4C",0,"PO","G",11,-0.2,483
"SQ58541 041",11.6,"5GG","5A",0,"HGI","F",1,6.2,432
"SQ63723 511",5.3,"5GG","5A",0,"HR","D",3,-4.6,683
"SQ54230 541",12.5,"5GG","4C",0,"GI",,12,0.6,303
"SQ70071 531",15.8,"5GG","5A",0,"GA",,6,7.4,310
"SQ80751 041",14.7,"5GG","5A",0,"PO","B",9,3.5,475
"SQ75468 061",8,"5GG","5A",0,"BP",,7,-2.8,432
"SQ76064 521",3.9,"3GB","5A",0,"CR","F",8,-1.1,648
"SQ64945 541",7.6,"3GB","5A",0,"GI","B",4,-5.5,522
"SQ67860 521",9.6,"5GG","5A",0,"CR",,5,-4.9,603
"SQ67964 011",3.4,"5GG","4C",0,"CR","B",5,-7.5,751
"SQ56510 511",4.4,"5GG","5A",0,"CR","F",1,-2.8,536
"SQ69795 011",1.1,"3GB","5A",1,"CR",,5,-11.4,395
"SQ70788 551",8.9,"3GB","4C",0,"HR",,6,-3.9,515
"SQ53903 031",17.6,"3GB","5A",1,"PO","F",12,2.9,374
"SQ58450 511",11.8,"3GB","4C",0,"GI",,1,4.6,367
"SQ66992 551",5.4,"5GG","4C",0,"HR",,4,-8.1,630
"SQ70212 541",8.6,"5GG","5A",0,"CR",,6,-5.8,519
"SQ63037 061",7.1,"3GB","5A",0,"HGI","D",3,-3.2,590
"SQ66707 561",8.8,"5GG","5A",0,"HR",,4,-4.7,405
"SQ50910 011",6.3,"3GB","5A",0,"HR","B",10,-1.5,558
"SQ53137 531",13,"3GB","4C",0,"CR",,11,4.6,459
"SQ72542 521",8.2,"5GG","5A",0,"HR","D",6,-0.3,631
"SQ71247 541",1.3,"3GB","5A",0,"GA",,6,-2.3,620
"SQ69496 091",9.9,"5GG","4C",0,"CR",,5,-3,565
"SQ70209 041",9.7,"5GG","5A",0,"CR",,6,-5,495
"SQ53096 011",13.9,"5GG","5A",0,"HR","B",11,3.6,427
"SQ54735 061",4.4,"5GG","4C",0,"HR","B",12,-6.7,532
"SQ59658 031",3.9,"3GB","5A",0,"CR",,2,-3,521
"SQ71104 551",7.5,"5GG","4C",0,"GI","B",6,2.7,605
"SQ79998 031",7.5,"3GB","5A",0,"HR","F",9,-0.5,500
"SQ54122 061",14.4,"5GG","5A",0,"HR","B",12,4.4,446
"SQ65953 051",7.1,"3GB","5A",0,"PO","D",4,-2.7,574
"SQ78130 051",15.1,"5GG","5A",0,"GI",,8,-1.8,507
"SQ62894 521",14.8,"5GG","5A",0,"HR","D",3,9.4,411
"SQ52161 531",8.9,"5GG","4C",0,"HR",,11,-1.5,436
"SQ77154 031",5.3,"3GB","5A",0,"CR",,8,-3.1,580
"SQ59592 021",6.4,"5GG","5A",0,"HGI","F",2,-4.4,452
"SQ70910 031",12.1,"5GG","5A",0,"HR",,6,2.5,462
"SQ75962 531",11.3,"3GB","4C",0,"HR","D",8,2.5,394
"SQ59252 021",12.9,"5GG","4C",0,"GI",,2,1.7,380
"SQ76137 011",6.1,"5GG","5A",0,"HGI","F",8,-4.7,524
"SQ56364 021",8.1,"3GB","4C",0,"HR","B",1,2.1,513
"SQ64312 031",11.1,"5GG","4C",0,"HGI","F",3,1.6,498
"SQ74067 511",2.9,"3GB","5A",0,"HGI","F",7,-3.8,735
"SQ73621 531",7.1,"3GB","5A",1,"CR",,7,0.9,437
"SQ67080 061",7.5,"5GG","4C",0,"FH",,4,-2.6,423
"SQ71365 051",11.1,"5GG","5A",0,"HR",,6,3.9,588
"SQ80790 531",6.6,"3GB","5A",0,"HR",,9,-5.7,642
"SQ61462 041",10.9,"3F1","5A",0,"CR",,2,2.9,361
"SQ52669 021",12.3,"5GG","4C",0,"CR",,11,-1.6,534
"SQ59201 531",9.5,"3GB","4C",0,"HGI","F",2,-6.2,616
"SQ67975 041",5.3,"3GB","5A",0,"HR",,5,-0.8,756
"SQ49872 051",8.9,"3GB","5A",0,"HR","D",10,0.1,576
"SQ55632 011",2.9,"3GB","5A",0,"PO","G",12,-3.8,621
"SQ68423 531",9,"5GG","5A",0,"GI","B",5,0.5,634
"SQ72756 041",9.6,"3GB","5A",0,"PO","B",7,-4.5,657
"SQ52825 021",12.3,"5GG","5A",0,"HR",,11,5.5,507
"SQ62876 521",16.7,"5GG","5A",0,"HGI","D",3,1.1,375
"SQ75442 531",5.8,"3GB","5A",0,"CR",,7,-2.9,551
"SQ72432 551",4.1,"5GG","4C",0,"BP",,6,-3.8,663
"SQ52082 041",7.4,"5GG","4C",0,"CR",,11,-6.2,511
"SQ49913 511",9.4,"5GG","5A",0,"HGI","D",10,0.6,589
"SQ68143 041",5.6,"3GB","5A",0,"BP",,5,-3.7,464
"SQ77651 541",7.8,"3GB","5A",0,"HGI","F",8,-2.5,589
"SQ57776 051",11.4,"5GG","5A",0,"HR",,1,-2.9,548
"SQ77462 041",6.5,"5GG","5A",0,"GI","D",8,-4.2,631
"SQ55774 551",2.7,"5GG","4C",0,"HR",,12,-1.5,732
"SQ74235 561",3.7,"5GG","5A",0,"HR",,7,-0.2,542
"SQ58694 541",11.9,"5GG","4C",0,"HR",,1,5.2,312
"SQ49977 551",14.8,"3GB","5A",0,"HR",,10,1.9,593
"SQ53646 551",7.9,"3GB","5A",0,"HGI","F",12,2.5,622
"SQ71957 511",8.5,"5GG","5A",0,"GI",,6,2.9,486
"SQ73118 541",2.6,"3GB","5A",0,"HR","B",7,-2.9,647
"SQ53180 031",8,"5GG","5A",0,"HGI","D",11,0.9,328
"SQ68340 531",11.1,"3GB","4C",0,"HR",,5,6.2,459
"SQ57037 021",3.7,"3GB","5A",0,"HR",,1,-2.4,718
"SQ70133 531",1.2,"5GG","5A",0,"HR",,6,-5.9,797
"SQ77382 021",3.7,"3GB","5A",1,"HR","F",8,-5.1,375
"SQ77627 541",4.6,"5GG","5A",0,"HR","B",8,-2.1,598
"SQ64981 031",13.3,"5GG","5A",0,"BP",,4,6.8,324
"SQ69966 041",6,"3GB","5A",0,"HR","B",5,4,470
"SQ53522 511",8.1,"5GG","5A",0,"CR","B",11,-1.3,434
"SQ68961 511",8.1,"3GB","4C",1,"HR","F",5,-3.5,355
"SQ57823 531",8.5,"5GG","4C",0,"HR",,1,-5.4,556
"SQ68056 031",6.4,"5GG","5A",0,"PO","G",5,-3.4,491
"SQ54824 011",12.7,"5GG","5A",0,"HGI","F",12,-0.9,542
"SQ67250 061",5.9,"3GB","5A",0,"HR",,5,-2.1,602
"SQ65225 581",5.2,"3GB","5A",0,"CR",,4,-3,733
"SQ52912 021",6.1,"5GG","5A",0,"HR",,11,-3.7,672
"SQ79440 031",15,"5GG","5A",0,"HGI","F",9,4.6,450
"SQ63769 011",7.1,"5GG","4C",0,"HGI","F",3,-2.6,605
"SQ80250 021",6.7,"5GG","4C",0,"GA",,9,-3.6,661
"SQ70764 511",3,"3GB","4C",0,"HR",,6,0.8,533
"SQ56430 021",16.5,"3GB","5A",0,"HR","F",1,2.9,402
"SQ68613 511",7,"3GB","4C",0,"HR",,5,-4.8,584
"SQ52494 561",4.7,"3GB","4C",0,"HR",,11,-0.7,609
"SQ67338 531",4.5,"3GB","5A",0,"PO","D",5,-4.6,676
"SQ53450 551",17.3,"5GG","5A",0,"HR",,11,-3.5,372
"SQ60582 551",17.6,"5GG","5A",0,"CR",,2,4.9,312
"SQ79470 551",11.9,"3GB","5A",0,"HGI","D",9,2.9,411
"SQ72488 021",10.9,"5GG","5A",0,"GI","B",6,-0.2,603
"SQ52157 531",8.7,"3GB","4C",0,"HR",,11,0.2,471
"SQ77595 021",9.8,"5GG","5A",0,"HGI","F",8,5.3,583
"SQ58961 551",7.9,"3GB","5A",0,"HGI","D",2,1.5,483
"SQ73395 031",10,"5GG","5A",0,"HR",,7,-3,587
"SQ67946 511",2,"5GG","5A",0,"CR",,5,-3.4,683
"SQ58034 511",10.8,"5GG","4C",0,"GI",,1,5.2,412
"SQ51775 541",4.8,"3GB","4C",1,"CR",,11,-9.7,370
"SQ57235 531",17.4,"3GB","4C",0,"PO","D",1,7.7,307
"SQ68374 071",7.3,"5GG","4C",0,"HR",,5,-2.5,565
"SQ50749 511",13.2,"5GG","5A",0,"HR","D",10,1.4,422
"SQ76532 531",7.3,"3GB","5A",1,"CR",,8,-9.1,336
"SQ77938 531",8.2,"5GG","5A",0,"HR","D",8,1.6,604
"SQ58465 511",3.2,"3GB","5A",0,"HR","B",1,-5.5,563
"SQ50264 061",5.8,"5GG","5A",0,"HR","D",10,-6.2,472
"SQ66927 061",8.9,"3GB","5A",0,"FH",,4,-4.2,314
"SQ55074 521",12.3,"3GB","5A",0,"GA",,12,0.9,344
"SQ54151 041",14.5,"5GG","5A",0,"CR",,12,2,352
"SQ58107 511",7.4,"3GB","4C",0,"CR",,1,0,463
"SQ55882 521",3.7,"3GB","5A",0,"HR",,12,-8.1,522
"SQ74640 521",2.6,"5GG","5A",0,"PO","B",7,-2.6,682
"SQ51361 041",9.6,"3GB","5A",0,"HR",,10,-3.7,598
"SQ53147 031",14.8,"5GG","5A",0,"HR","D",11,1.6,438
"SQ54362 561",11.6,"3GB","5A",0,"HR","D",12,7.2,506
"SQ51722 531",13.3,"3GB","5A",0,"GI",,11,-2.7,428
"SQ54507 061",7.8,"3GB","5A",0,"HR",,12,-3.7,410
"SQ70270 041",9.2,"5GG","5A",0,"PO","B",6,0.2,548
"SQ58508 541",2.3,"3GB","4C",0,"HR","B",1,-4.6,732
"SQ52859 521",9.1,"3GB","4C",0,"HGI","F",11,0.8,564
"SQ57058 041",0.6,"3GB","4C",1,"HGI","F",1,-8.9,500
"SQ56874 011",6.5,"5GG","4C",0,"HR",,1,-1.6,439
"SQ51569 521",4.9,"3GB","4C",0,"GI",,11,-8.1,576
"SQ55368 011",14.2,"5GG","5A",0,"HR",,12,0.6,445
"SQ68462 031",5.4,"3GB","5A",0,"HR",,5,-3.6,585
"SQ70984 041",8.3,"5GG","5A",0,"HR","D",6,-3.9,630
"SQ65576 021",11.1,"5GG","5A",0,"HGI","F",4,0,417
"SQ69713 511",11.2,"3GB","4C",0,"HR","B",5,4.6,515
"SQ50886 521",11.9,"3GB","4C",0,"HR","D",10,-2.9,302
"SQ60752 521",5.8,"5GG","5A",0,"HR","D",2,-7.8,497
"SQ68606 011",5.9,"5GG","4C",0,"CR",,5,-3.3,609
"SQ74192 551",2.8,"5GG","5A",0,"HR",,7,-6.8,593
"SQ57755 051",14.6,"3GB","4C",0,"BP",,1,0.1,314
"SQ67779 521",14.5,"5GG","5A",0,"HR",,5,-1.8,492
"SQ54105 551",9.5,"5GG","4C",0,"HR",,12,-2,497
"SQ72266 531",8.4,"3GB","5A",0,"CR",,6,-3.8,470
"SQ81190 011",7.2,"3GB","5A",0,"GI","B",9,-3,502
